"","work_year","experience_level","employment_type","job_title","salary","salary_currency","salary_in_usd","employee_residence","remote_ratio","company_location","company_size"
"0","2020","3","7","122","70000","9","79833","26","0","26","83"
"1","2020","4","7","140","260000","10","260000","27","0","27","85"
"2","2020","4","7","107","85000","11","109024","28","50","28","84"
"3","2020","3","7","147","20000","10","20000","29","0","29","85"
"4","2020","4","7","137","150000","10","150000","30","50","30","83"
"5","2020","1","7","112","72000","10","72000","30","100","30","83"
"6","2020","4","7","134","190000","10","190000","30","100","30","85"
"7","2020","3","7","122","11000000","12","35735","31","50","31","83"
"8","2020","3","7","108","135000","10","135000","30","100","30","83"
"9","2020","4","7","134","125000","10","125000","32","50","32","85"
"10","2020","1","7","122","45000","9","51321","33","0","33","85"
"11","2020","3","7","122","3000000","13","40481","34","0","34","83"
"12","2020","1","7","122","35000","9","39916","33","0","33","84"
"13","2020","3","7","132","87000","10","87000","30","100","30","83"
"14","2020","3","7","112","85000","10","85000","30","100","30","83"
"15","2020","3","7","112","8000","10","8000","35","50","35","83"
"16","2020","1","7","117","4450000","14","41689","27","100","27","85"
"17","2020","4","7","107","100000","9","114047","36","100","36","85"
"18","2020","1","7","119","423000","13","5707","34","50","34","84"
"19","2020","3","7","134","56000","10","56000","37","100","37","84"
"20","2020","3","7","137","299000","15","43331","38","0","38","84"
"21","2020","3","7","147","450000","13","6072","34","100","34","83"
"22","2020","4","7","117","42000","9","47899","39","50","39","83"
"23","2020","3","7","105","98000","10","98000","30","0","30","84"
"24","2020","3","7","134","115000","10","115000","40","0","40","83"
"25","2020","2","7","125","325000","10","325000","30","100","30","83"
"26","2020","1","7","148","42000","10","42000","41","50","41","83"
"27","2020","4","7","117","720000","16","33511","42","0","42","85"
"28","2020","1","5","108","100000","10","100000","30","100","30","83"
"29","2020","4","7","139","157000","16","117104","43","50","43","83"
"30","2020","3","7","118","51999","9","59303","26","100","26","85"
"31","2020","1","7","107","70000","10","70000","30","100","30","83"
"32","2020","4","7","122","60000","9","68428","39","100","39","83"
"33","2020","3","7","148","450000","10","450000","30","0","30","84"
"34","2020","3","7","112","41000","9","46759","33","50","33","83"
"35","2020","3","7","117","65000","9","74130","44","50","44","83"
"36","2020","3","7","119","103000","10","103000","30","100","30","83"
"37","2020","1","7","137","250000","10","250000","30","50","30","83"
"38","2020","1","7","112","10000","10","10000","45","100","45","85"
"39","2020","1","7","137","138000","10","138000","30","100","30","85"
"40","2020","3","7","122","45760","10","45760","46","100","46","85"
"41","2020","2","7","118","70000","9","79833","47","50","47","83"
"42","2020","3","7","138","44000","9","50180","37","0","37","84"
"43","2020","3","7","117","106000","10","106000","30","100","30","83"
"44","2020","3","7","117","88000","11","112872","28","50","28","83"
"45","2020","1","8","142","14000","9","15966","26","100","26","85"
"46","2020","3","7","122","60000","11","76958","28","100","28","85"
"47","2020","4","7","117","188000","10","188000","30","100","30","83"
"48","2020","3","7","122","105000","10","105000","30","100","30","83"
"49","2020","3","7","117","61500","9","70139","33","50","33","83"
"50","2020","1","7","112","450000","13","6072","34","0","34","85"
"51","2020","1","7","112","91000","10","91000","30","100","30","83"
"52","2020","1","7","101","300000","18","45896","48","50","48","85"
"53","2020","1","7","117","48000","9","54742","35","100","35","83"
"54","2020","4","6","110","60000","10","60000","49","100","49","85"
"55","2020","4","7","146","130000","9","148261","26","100","26","84"
"56","2020","3","7","122","34000","9","38776","47","100","47","84"
"57","2020","3","7","122","118000","10","118000","30","100","30","84"
"58","2020","4","7","122","120000","10","120000","30","50","30","83"
"59","2020","3","7","122","138350","10","138350","30","100","30","84"
"60","2020","3","7","117","110000","10","110000","30","100","30","83"
"61","2020","3","7","117","130800","10","130800","47","100","47","84"
"62","2020","1","8","122","19000","9","21669","50","50","50","85"
"63","2020","4","7","122","412000","10","412000","30","100","30","83"
"64","2020","4","7","137","40000","9","45618","51","100","51","85"
"65","2020","1","7","122","55000","9","62726","26","50","26","85"
"66","2020","1","7","122","43200","9","49268","26","0","26","85"
"67","2020","4","7","121","190200","10","190200","30","100","30","84"
"68","2020","1","7","122","105000","10","105000","30","100","30","85"
"69","2020","4","7","122","80000","9","91237","44","0","44","85"
"70","2020","3","7","122","55000","9","62726","33","50","33","85"
"71","2020","3","7","122","37000","9","42197","33","50","33","85"
"72","2021","1","7","148","60000","11","82528","28","50","28","83"
"73","2021","2","7","105","150000","10","150000","34","100","34","83"
"74","2021","2","7","129","235000","10","235000","30","100","30","83"
"75","2021","4","7","122","45000","9","53192","33","50","33","83"
"76","2021","3","7","105","100000","10","100000","30","100","30","84"
"77","2021","3","8","100","400000","13","5409","34","50","34","84"
"78","2021","3","5","142","270000","10","270000","30","100","30","83"
"79","2021","1","7","112","80000","10","80000","30","100","30","84"
"80","2021","4","7","113","67000","9","79197","26","100","26","83"
"81","2021","3","7","117","140000","10","140000","30","100","30","83"
"82","2021","3","7","103","68000","17","54238","28","50","28","83"
"83","2021","3","7","137","40000","9","47282","47","100","47","85"
"84","2021","2","7","125","130000","9","153667","50","100","50","83"
"85","2021","3","7","117","110000","19","28476","36","100","36","83"
"86","2021","1","7","112","50000","9","59102","33","50","33","84"
"87","2021","3","7","113","110000","10","110000","30","100","30","83"
"88","2021","4","7","132","170000","10","170000","30","100","30","83"
"89","2021","4","7","112","80000","10","80000","52","100","52","85"
"90","2021","4","7","141","75000","9","88654","39","100","39","83"
"91","2021","1","7","119","65000","9","76833","26","100","26","85"
"92","2021","3","7","132","1450000","13","19609","34","100","34","83"
"93","2021","4","7","134","276000","10","276000","30","0","30","83"
"94","2021","1","7","122","2200000","13","29751","34","50","34","83"
"95","2021","3","7","109","120000","20","89294","53","50","53","83"
"96","2021","1","8","101","12000","10","12000","54","100","54","85"
"97","2021","3","7","128","450000","10","450000","30","100","30","83"
"98","2021","1","7","111","70000","10","70000","30","100","30","84"
"99","2021","3","7","111","81000","9","95746","26","100","26","85"
"100","2021","3","7","112","75000","10","75000","30","0","30","83"
"101","2021","4","7","117","150000","10","150000","30","100","30","83"
"102","2021","3","7","105","11000000","12","36259","31","50","31","83"
"103","2021","3","7","112","62000","10","62000","30","0","30","83"
"104","2021","3","7","122","73000","10","73000","30","0","30","83"
"105","2021","3","7","112","37456","11","51519","28","50","28","83"
"106","2021","3","7","148","235000","17","187442","43","100","43","83"
"107","2021","4","7","117","115000","10","115000","30","100","30","85"
"108","2021","4","7","117","150000","10","150000","30","100","30","84"
"109","2021","1","7","117","2250000","13","30428","34","100","34","83"
"110","2021","4","7","137","80000","9","94564","26","50","26","83"
"111","2021","4","7","124","82500","11","113476","28","100","28","84"
"112","2021","4","7","134","75000","11","103160","28","100","28","85"
"113","2021","1","8","101","12000","10","12000","35","100","35","84"
"114","2021","3","7","117","38400","9","45391","41","100","41","83"
"115","2021","1","7","140","225000","10","225000","30","100","30","83"
"116","2021","3","7","122","50000","10","50000","45","100","45","83"
"117","2021","3","7","120","34000","9","40189","39","100","39","84"
"118","2021","1","7","112","90000","10","90000","30","100","30","85"
"119","2021","3","7","117","200000","10","200000","30","100","30","83"
"120","2021","3","7","107","60000","10","60000","47","50","47","84"
"121","2021","4","7","145","200000","10","200000","30","100","30","84"
"122","2021","1","7","112","50000","10","50000","30","100","30","84"
"123","2021","1","7","103","80000","11","110037","28","0","28","83"
"124","2021","1","8","112","8760","9","10354","47","50","47","84"
"125","2021","3","7","146","151000","10","151000","30","100","30","83"
"126","2021","4","7","140","120000","10","120000","30","50","30","85"
"127","2021","3","7","122","700000","13","9466","34","0","34","85"
"128","2021","1","7","137","20000","10","20000","34","100","34","85"
"129","2021","4","7","134","3000000","13","40570","34","50","34","83"
"130","2021","1","7","136","100000","10","100000","55","50","55","85"
"131","2021","1","7","122","42000","9","49646","33","50","33","84"
"132","2021","3","7","104","38400","10","38400","56","100","56","84"
"133","2021","4","7","110","24000","10","24000","54","100","54","84"
"134","2021","1","7","122","100000","10","100000","30","0","30","85"
"135","2021","3","7","112","90000","10","90000","30","100","30","84"
"136","2021","3","7","142","7000000","14","63711","27","50","27","85"
"137","2021","3","7","142","8500000","14","77364","27","50","27","85"
"138","2021","4","7","146","220000","10","220000","30","0","30","83"
"139","2021","1","7","122","80000","10","80000","30","100","30","84"
"140","2021","3","7","112","135000","10","135000","30","100","30","83"
"141","2021","4","7","121","240000","10","240000","30","0","30","83"
"142","2021","4","7","118","150000","10","150000","30","0","30","83"
"143","2021","3","7","122","82500","10","82500","30","100","30","85"
"144","2021","3","7","117","100000","10","100000","30","100","30","83"
"145","2021","4","7","137","70000","9","82744","57","50","57","84"
"146","2021","3","7","148","53000","9","62649","33","50","33","84"
"147","2021","3","7","117","90000","10","90000","30","100","30","83"
"148","2021","4","7","118","153000","10","153000","30","100","30","83"
"149","2021","4","7","109","160000","10","160000","54","100","54","85"
"150","2021","4","7","125","168000","10","168000","27","0","27","85"
"151","2021","3","7","122","150000","10","150000","30","100","30","84"
"152","2021","3","7","122","95000","17","75774","43","100","43","83"
"153","2021","1","7","122","13400","10","13400","58","100","58","83"
"154","2021","4","7","121","144000","10","144000","30","100","30","83"
"155","2021","4","7","120","159500","17","127221","43","50","43","83"
"156","2021","3","7","122","160000","20","119059","53","100","53","84"
"157","2021","3","7","104","423000","10","423000","30","50","30","83"
"158","2021","4","7","115","120000","10","120000","30","100","30","84"
"159","2021","1","7","137","125000","10","125000","30","100","30","85"
"160","2021","2","7","129","230000","10","230000","49","50","49","83"
"161","2021","2","7","130","85000","10","85000","49","0","49","84"
"162","2021","3","7","117","24000","9","28369","59","50","59","83"
"163","2021","1","7","119","54000","9","63831","26","50","26","83"
"164","2021","2","7","125","110000","9","130026","26","50","26","84"
"165","2021","4","7","123","165000","10","165000","30","100","30","83"
"166","2021","1","7","117","80000","10","80000","30","100","30","83"
"167","2021","2","7","125","250000","10","250000","30","0","30","83"
"168","2021","1","7","105","55000","10","55000","30","50","30","85"
"169","2021","3","7","116","150000","10","150000","30","100","30","83"
"170","2021","3","7","116","170000","10","170000","30","100","30","83"
"171","2021","3","7","117","60000","11","82528","28","100","28","83"
"172","2021","1","7","112","60000","10","60000","30","100","30","85"
"173","2021","4","7","146","235000","10","235000","30","100","30","83"
"174","2021","4","7","148","51400","9","60757","37","50","37","83"
"175","2021","4","7","118","174000","10","174000","30","100","30","83"
"176","2021","3","7","122","58000","16","2859","42","0","42","85"
"177","2021","3","7","122","30400000","21","40038","60","100","60","83"
"178","2021","1","7","137","81000","10","81000","30","50","30","85"
"179","2021","3","7","122","420000","13","5679","34","100","34","85"
"180","2021","3","7","107","1672000","13","22611","34","0","34","83"
"181","2021","3","7","122","76760","9","90734","26","50","26","83"
"182","2021","3","7","117","22000","9","26005","61","0","61","83"
"183","2021","4","7","127","45000","11","61896","28","50","28","83"
"184","2021","3","6","140","12000","10","12000","35","50","35","84"
"185","2021","3","7","117","4000","10","4000","62","100","62","84"
"186","2021","4","7","113","50000","10","50000","56","100","56","84"
"187","2021","2","7","119","59000","9","69741","33","100","33","85"
"188","2021","4","7","117","65000","9","76833","61","50","61","85"
"189","2021","3","7","137","74000","10","74000","27","50","27","85"
"190","2021","4","7","121","152000","10","152000","30","100","30","83"
"191","2021","1","7","137","21844","10","21844","63","50","63","84"
"192","2021","3","7","107","18000","10","18000","64","0","64","85"
"193","2021","4","7","121","174000","10","174000","30","100","30","83"
"194","2021","4","7","148","120500","17","96113","43","50","43","83"
"195","2021","3","7","122","147000","10","147000","30","50","30","83"
"196","2021","1","7","105","9272","10","9272","65","100","65","85"
"197","2021","4","7","137","1799997","13","24342","34","100","34","83"
"198","2021","4","7","121","4000000","13","54094","34","50","34","83"
"199","2021","1","7","119","90000","10","90000","30","100","30","85"
"200","2021","3","7","122","52000","9","61467","26","50","26","84"
"201","2021","4","7","138","195000","10","195000","30","100","30","84"
"202","2021","3","7","122","32000","9","37825","47","100","47","83"
"203","2021","4","7","148","50000","10","50000","33","100","33","85"
"204","2021","3","7","122","160000","10","160000","30","100","30","83"
"205","2021","3","7","122","69600","22","12901","54","0","54","85"
"206","2021","4","7","137","200000","10","200000","30","100","30","83"
"207","2021","4","7","117","165000","10","165000","30","0","30","84"
"208","2021","3","6","117","20000","10","20000","50","0","50","83"
"209","2021","4","7","115","120000","10","120000","30","0","30","83"
"210","2021","3","7","137","21000","9","24823","66","50","66","83"
"211","2021","3","7","148","48000","9","56738","33","50","33","85"
"212","2021","3","7","117","48000","11","66022","67","50","67","85"
"213","2021","1","7","107","435000","13","5882","34","0","34","83"
"214","2021","1","7","137","21000","9","24823","26","50","26","84"
"215","2021","4","7","145","185000","10","185000","30","100","30","83"
"216","2021","1","8","110","180000","18","28609","48","50","48","85"
"217","2021","3","7","122","76760","9","90734","26","50","26","83"
"218","2021","3","7","137","75000","9","88654","57","100","57","84"
"219","2021","4","7","115","140000","10","140000","30","100","30","83"
"220","2021","3","7","137","180000","19","46597","36","100","36","83"
"221","2021","3","7","122","85000","11","116914","28","50","28","83"
"222","2021","3","7","122","2500000","13","33808","34","0","34","84"
"223","2021","3","7","122","40900","11","56256","28","50","28","83"
"224","2021","4","7","140","225000","10","225000","30","100","30","83"
"225","2021","2","5","146","416000","10","416000","30","100","30","85"
"226","2021","4","7","122","110000","17","87738","43","100","43","85"
"227","2021","3","7","122","75000","9","88654","26","50","26","83"
"228","2021","4","7","122","135000","10","135000","30","0","30","83"
"229","2021","4","7","112","90000","17","71786","43","100","43","84"
"230","2021","1","7","107","1200000","13","16228","34","100","34","83"
"231","2021","4","7","142","256000","10","256000","30","100","30","85"
"232","2021","4","7","124","200000","10","200000","30","100","30","83"
"233","2021","4","7","112","200000","10","200000","30","100","30","83"
"234","2021","3","7","116","180000","10","180000","30","100","30","83"
"235","2021","3","7","130","110000","10","110000","30","0","30","85"
"236","2021","3","7","148","80000","17","63810","43","100","43","84"
"237","2021","3","7","122","39600","9","46809","47","100","47","84"
"238","2021","1","7","122","4000","10","4000","56","0","56","84"
"239","2021","1","7","117","1600000","13","21637","34","50","34","84"
"240","2021","4","7","122","130000","17","103691","43","100","43","83"
"241","2021","3","7","112","80000","10","80000","30","100","30","83"
"242","2021","3","7","117","110000","10","110000","30","100","30","83"
"243","2021","4","7","122","165000","10","165000","30","100","30","83"
"244","2021","1","7","101","1335000","13","18053","34","100","34","85"
"245","2021","3","7","117","52500","11","72212","28","50","28","83"
"246","2021","1","7","122","31000","9","36643","33","50","33","83"
"247","2021","3","7","117","108000","23","12103","68","0","68","84"
"248","2021","4","7","117","70000","11","96282","28","50","28","83"
"249","2021","4","7","144","170000","10","170000","30","100","30","84"
"250","2021","3","7","122","115000","10","115000","30","50","30","83"
"251","2021","1","7","122","90000","10","90000","30","100","30","85"
"252","2021","2","7","145","600000","10","600000","30","100","30","83"
"253","2021","1","7","122","2100000","13","28399","34","100","34","84"
"254","2021","3","7","112","93000","10","93000","30","100","30","83"
"255","2021","4","7","106","125000","17","99703","43","50","43","84"
"256","2021","3","7","117","200000","10","200000","30","100","30","83"
"257","2021","4","7","146","147000","9","173762","26","100","26","84"
"258","2021","4","7","137","185000","10","185000","30","50","30","83"
"259","2021","2","7","125","120000","9","141846","26","0","26","83"
"260","2021","3","7","122","130000","10","130000","30","50","30","83"
"261","2021","4","7","112","54000","9","63831","26","50","26","83"
"262","2021","3","7","122","1250000","13","16904","34","100","34","85"
"263","2021","4","7","137","4900000","13","66265","34","0","34","83"
"264","2021","3","7","122","21600","9","25532","69","100","69","85"
"265","2021","4","7","134","160000","10","160000","70","50","70","85"
"266","2021","3","7","117","93150","10","93150","30","0","30","84"
"267","2021","3","7","117","111775","10","111775","30","0","30","84"
"268","2021","3","7","117","250000","23","28016","68","100","68","84"
"269","2021","1","7","117","55000","9","65013","26","50","26","84"
"270","2021","1","7","117","72500","10","72500","30","100","30","83"
"271","2021","4","7","110","102000","22","18907","54","0","54","84"
"272","2021","1","7","119","65000","9","76833","26","0","26","83"
"273","2021","1","7","137","85000","10","85000","41","100","41","85"
"274","2021","4","7","122","65720","9","77684","33","50","33","84"
"275","2021","1","7","122","100000","10","100000","30","100","30","84"
"276","2021","1","7","122","58000","10","58000","30","50","30","83"
"277","2021","4","7","101","55000","10","55000","47","100","47","83"
"278","2021","4","7","122","180000","23","20171","68","50","68","83"
"279","2021","1","7","108","50000","9","59102","71","100","71","83"
"280","2021","3","7","117","112000","10","112000","30","100","30","83"
"281","2021","1","7","148","100000","10","100000","72","0","72","83"
"282","2021","3","8","117","59000","9","69741","41","100","41","83"
"283","2021","4","5","149","105000","10","105000","30","100","30","84"
"284","2021","3","7","148","69999","10","69999","73","50","73","83"
"285","2021","4","7","121","7000000","13","94665","34","50","34","83"
"286","2021","4","7","129","87000","9","102839","66","100","66","83"
"287","2021","3","7","122","109000","10","109000","30","50","30","83"
"288","2021","3","7","137","43200","9","51064","50","50","50","83"
"289","2022","4","7","117","135000","10","135000","30","100","30","84"
"290","2022","4","7","112","155000","10","155000","30","100","30","84"
"291","2022","4","7","112","120600","10","120600","30","100","30","84"
"292","2022","3","7","122","130000","10","130000","30","0","30","84"
"293","2022","3","7","122","90000","10","90000","30","0","30","84"
"294","2022","3","7","117","170000","10","170000","30","100","30","84"
"295","2022","3","7","117","150000","10","150000","30","100","30","84"
"296","2022","4","7","112","102100","10","102100","30","100","30","84"
"297","2022","4","7","112","84900","10","84900","30","100","30","84"
"298","2022","4","7","122","136620","10","136620","30","100","30","84"
"299","2022","4","7","122","99360","10","99360","30","100","30","84"
"300","2022","4","7","122","90000","11","117789","28","0","28","84"
"301","2022","4","7","122","80000","11","104702","28","0","28","84"
"302","2022","4","7","122","146000","10","146000","30","100","30","84"
"303","2022","4","7","122","123000","10","123000","30","100","30","84"
